model,trial,prob_native_congruent,prob_native_violation,prob_eng_congruent,prob_eng_violation,suprisal_native_congruent,suprisal_native_violation,suprisal_eng_congruent,suprisal_eng_violation,tokens_native_congruent,tokens_native_violation,tokens_eng_congruent,tokens_eng_violation
Qwen-1.5B,Utensils (Implicit),0.15977569157892307,0.0007021148423559226,1.3262356120767841e-08,4.179940813331769e-09,2.645880162880345,10.476005353369194,26.168087659229787,27.833870339650744,['çŃ·åŃĲ'],"['åıī', 'åŃĲ']","['ch', 'op', 'sticks']","['a', 'Ġfork']"
Qwen-1.5B,Lunar New Year Food (Implicit),0.03049372436696839,0.000690344152830756,1.0433879808925553e-07,5.0027341198302744e-09,5.03534382435269,10.50039662084516,23.192220944485953,27.574636074491007,['é¥ºåŃĲ'],"['æĦıå¤§åĪ©', 'éĿ¢']","['d', 'um', 'plings']","['p', 'asta']"
Qwen-1.5B,Hot Water Remedy (Implicit),0.07503176288240997,0.003280607820913429,1.3459568226919347e-05,5.410860572759339e-07,3.7363547348022763,8.251821146959628,16.181008344345454,20.817638597827465,['çĥŃæ°´'],"['åĨ°', 'æ°´']","['hot', 'Ġwater']","['iced', 'Ġwater']"
Qwen-1.5B,Wedding Color (Implicit),0.0420068795627199,0.0075756774442599355,5.3800520990455834e-06,9.818423384148952e-06,4.5732305690679445,7.0444093793406415,17.503948425785627,16.63607719025086,['çº¢èī²'],['çĻ½èī²'],['red'],['white']
Qwen-1.5B,Sneeze Response (Implicit),4.4857609692317706e-07,4.811098290281362e-10,4.2139824511551633e-07,1.0412318764960251e-09,21.088143917994145,30.952914675029675,21.178312358049705,29.839061469480058,"['ä½ł', 'ä¸įè¯´', 'ä»Ģä¹Ī']","['ä½łè¯´', 'ä¸Ĭå¸Ŀ', 'ä¿Ŀ', 'ä½ĳ']",['nothing'],"['b', 'less', 'Ġyou']"
Qwen-1.5B,Unlucky Floor (Implicit),7.254888118852912e-05,1.994733700481656e-06,2.081691415838163e-08,5.33499757357181e-10,13.750687108472933,18.935372411667643,25.51766853572354,30.803793333980757,['åĽĽ'],['åįģä¸ī'],['four'],"['th', 'irteen']"
Qwen-1.5B,Green Hat (Implicit),0.020076543709397782,0.013879480535501108,1.7231869684358513e-05,3.535750085040998e-05,5.638345267224249,6.170902616302402,15.824561229750817,14.787624169111876,['ç»¿èī²'],['é»ĳèī²'],['green'],['black']
Qwen-1.5B,Zodiac Underwear (Implicit),0.36787944117144233,0.00711669035079919,1.6408231849766684e-06,5.072357724632501e-08,1.4426950408889634,7.134577819396202,19.21714878684127,24.232768264931806,['çº¢èī²'],['çĻ½èī²'],['red'],['white']
Qwen-1.5B,Christmas Apple (Implicit),0.00044965440911134296,3.096006220621796e-05,1.993542944641268e-10,7.746073136852956e-11,11.118895764351269,14.97923210422994,32.22394626485583,33.58774392069618,['èĭ¹æŀľ'],['åįĹçĵľ'],"['an', 'Ġapple']","['a', 'Ġpumpkin']"
Qwen-1.5B,Red Packet Refusal (Implicit),0.08403158826957005,0.1021564313333943,1.6584990950660086e-07,2.769413480712634e-06,3.572924437201573,3.291148062027948,22.523618439269285,18.461988101375955,['æĭĴç»Ŀ'],['æİ¥åıĹ'],"['ref', 'use']",['accept']
BLOOM-1.7B,Utensils (Implicit),0.13881552646857673,0.0026921384628278886,3.77211538484087e-09,1.1836209444637012e-09,2.8487591530053553,8.537031671705682,27.98197904685138,29.654145723272364,['çŃ·åŃĲ'],"['åıī', 'åŃĲ']","['ch', 'op', 'st', 'icks']","['a', 'Ġfork']"
BLOOM-1.7B,Lunar New Year Food (Implicit),0.0002671013495513877,6.157143577010426e-05,1.063623381742272e-12,7.627535015787089e-08,11.870325114223466,13.987379263618777,39.774149741077956,23.644207861287896,"['é¥', 'º', 'åŃĲ']","['æĦıå¤§åĪ©', 'éĿ¢']","['d', 'umpl', 'ings']","['pas', 'ta']"
BLOOM-1.7B,Hot Water Remedy (Implicit),0.3496644670093831,0.0008380165935968624,2.7324750866014346e-06,8.318895626484817e-09,1.5159568984341063,10.220733568485336,18.48136022716914,26.84096083763268,['çĥŃæ°´'],"['åĨ°', 'æ°´']","['hot', 'Ġwater']","['iced', 'Ġwater']"
BLOOM-1.7B,Wedding Color (Implicit),0.01842327210910723,0.023655949646648057,2.2780573902385995e-06,6.908123638278764e-06,5.762326872300645,5.401653112078404,18.74376447654958,17.143274665563386,['çº¢èī²'],['çĻ½èī²'],['red'],['white']
BLOOM-1.7B,Sneeze Response (Implicit),1.4563133666408766e-07,9.968575667638511e-09,3.785339420236214e-06,4.000229659898788e-09,22.71117583899423,26.57996547012811,18.011145901098153,27.89727002406481,"['ä½łä¸į', 'è¯´ä»Ģä¹Ī']","['ä½łè¯´', 'ä¸Ĭå¸Ŀ', 'ä¿Ŀä½ĳ']",['nothing'],"['bl', 'ess', 'Ġyou']"
BLOOM-1.7B,Unlucky Floor (Implicit),0.00010473654040202565,8.851577139168133e-07,8.494600649484895e-08,1.2246679886606125e-10,13.220947523146517,20.107562132389926,23.488878634473437,32.926890265796786,['åĽĽ'],['åįģä¸ī'],['four'],"['th', 'ir', 'teen']"
BLOOM-1.7B,Green Hat (Implicit),0.019269750388748126,0.08370398015406778,6.854364193619807e-06,1.013009359863071e-05,5.697518306010711,3.578559964705046,17.15454572057033,16.59099297022308,['ç»¿èī²'],['é»ĳèī²'],['green'],['black']
BLOOM-1.7B,Zodiac Underwear (Implicit),0.12107705413868601,0.08452540617641245,0.0009859794947277968,7.071945069365139e-06,3.0460026156268936,3.5644711459463645,9.986154736153294,17.10946150054255,['çº¢èī²'],['çĻ½èī²'],['red'],['white']
BLOOM-1.7B,Christmas Apple (Implicit),0.0007619059005462061,6.20515059684533e-05,1.3734343131162135e-07,7.914980631347454e-09,10.35809955138248,13.976174249949764,22.795708751546318,26.91276703402092,['èĭ¹æŀľ'],"['åįĹ', 'çĵľ']","['an', 'Ġapple']","['a', 'Ġpump', 'kin']"
BLOOM-1.7B,Red Packet Refusal (Implicit),0.14196873275398658,0.05468039736791477,3.2841571880376704e-07,2.207968932663697e-06,2.8163548698603886,4.19283246258355,21.537973484423667,18.78884869657736,['æĭĴç»Ŀ'],['æİ¥åıĹ'],"['ref', 'use']",['accept']
pythia-1.4b,Utensils (Implicit),0.0001926223440257613,2.214777678258555e-05,6.711350515041525e-09,6.42363776279305e-09,12.341937315280667,15.462478587652708,27.15074974697884,27.213962314268766,"['çŃ', '·', 'åŃĲ']","['åı', 'ī', 'åŃĲ']","['ch', 'op', 'st', 'icks']","['a', 'Ġfork']"
pythia-1.4b,Lunar New Year Food (Implicit),3.1698128087646386e-05,1.961771634852646e-06,1.1492760011976453e-10,2.1432606484847756e-09,14.945242828974623,18.959411458674644,33.018555642845456,28.797545542744544,"['é', '¥', 'º', 'åŃĲ']","['æĦı', 'å¤§', 'åĪ©', 'éĿ¢']","['d', 'um', 'plings']","['p', 'asta']"
pythia-1.4b,Hot Water Remedy (Implicit),0.005639394848325655,0.0010919128432154376,1.541180646022368e-07,9.871700091057191e-09,7.470243926321784,9.838926580125074,22.629460690193877,26.59405428888679,"['ç', 'ĥ', 'Ń', 'æ°´']","['åĨ', '°', 'æ°´']","['hot', 'Ġwater']","['iced', 'Ġwater']"
pythia-1.4b,Wedding Color (Implicit),0.005369337324956489,0.0080392032981691,1.3081782989987216e-06,1.1936167278278403e-05,7.541040240584157,6.958731750264411,19.544009382042677,16.354300815077234,"['çº', '¢', 'èī²']","['çĻ', '½', 'èī²']",['red'],['white']
pythia-1.4b,Sneeze Response (Implicit),1.8438280473064532e-06,2.092483081813926e-12,1.4480213784309005e-06,2.746221398569728e-10,19.048864450902617,38.79792118033238,19.39748566695239,31.761833009571085,"['ä½ł', 'ä¸į', 'è¯´', 'ä»', 'Ģ', 'ä¹Ī']","['ä½ł', 'è¯´', 'ä¸Ĭ', 'å¸', 'Ŀ', 'ä¿Ŀ', 'ä½', 'ĳ']",['nothing'],"['b', 'less', 'Ġyou']"
pythia-1.4b,Unlucky Floor (Implicit),0.0002955392263109211,4.747879313151479e-06,4.3386174781961194e-08,3.10740601036421e-09,11.724362750505597,17.684285305896747,24.45818936507071,28.261642099211205,"['åĽ', 'Ľ']","['åįģ', 'ä¸ī']",['four'],"['th', 'ir', 'teen']"
pythia-1.4b,Green Hat (Implicit),0.004982827328004042,0.09114864242041161,1.3525449486928043e-05,3.5082346595828597e-05,7.648819704088068,3.455635021035552,16.173963934966114,14.79889522411882,"['ç»', '¿', 'èī²']","['é»', 'ĳ', 'èī²']",['green'],['black']
pythia-1.4b,Zodiac Underwear (Implicit),0.039839340878179454,0.02818627460949625,3.70543427450251e-05,1.2004518864669372e-06,4.64966241083379,5.148863380811799,14.719997839070205,19.667990987119072,"['çº', '¢', 'èī²']","['çĻ', '½', 'èī²']",['red'],['white']
pythia-1.4b,Christmas Apple (Implicit),8.877789094428278e-06,5.591894022258775e-06,1.5803413009113557e-09,1.209144917378734e-10,16.78136813369976,17.448231550350904,29.237116688015398,32.945293785300315,"['èĭ', '¹', 'æŀľ']","['åį', 'Ĺ', 'ç', 'ĵ', 'ľ']","['an', 'Ġapple']","['a', 'Ġpumpkin']"
pythia-1.4b,Red Packet Refusal (Implicit),0.00012107733119472004,4.045847675922459e-05,5.377789540353902e-08,3.6326799385133336e-07,13.011783599028375,14.593198470242074,24.148411462614202,21.39246240318166,"['æĭ', 'Ĵ', 'ç»', 'Ŀ']","['æİ¥', 'åıĹ']","['ref', 'use']",['accept']
